auroc,auprc,f1,brier,ece,n,prevalence,variant,test_site,seed
0.6554347826086957,0.9642828813193463,0.7379679144385026,0.286151465799231,0.38666527407048135,123,0.9349593495934959,CISD-no_env_aux,switzerland,2
0.5380434782608695,0.9307904222688286,0.7204301075268817,0.3113757828442167,0.42158279559824813,123,0.9349593495934959,CISD-full,switzerland,3
0.6173913043478261,0.9602016671559639,0.7213114754098361,0.35278324260306093,0.39689387827408434,123,0.9349593495934959,CISD-no_adv,switzerland,3
0.7695652173913043,0.9803124850845574,0.8,0.2417144683782264,0.3309573599241024,123,0.9349593495934959,CISD-no_orth,switzerland,3
0.5847826086956521,0.9403820909979924,0.6703910614525139,0.36080878955281753,0.4218141832270734,123,0.9349593495934959,CISD-no_env_aux,switzerland,3
0.6663043478260869,0.9641277151293367,0.6473988439306358,0.4034289442477904,0.4782716254494798,123,0.9349593495934959,CISD-full,switzerland,4
0.6086956521739131,0.9409348410645445,0.8390243902439025,0.2763600588951421,0.33955154834758694,123,0.9349593495934959,CISD-no_adv,switzerland,4
0.7391304347826086,0.9770653468547158,0.7486631016042781,0.2961256104835095,0.3880112895807291,123,0.9349593495934959,CISD-no_orth,switzerland,4
0.7521739130434782,0.9734585789265648,0.7938144329896907,0.22810574210799708,0.3206939736368498,123,0.9349593495934959,CISD-no_env_aux,switzerland,4
0.73917620739571,0.8893337675242975,0.8299319727891157,0.20331745122665873,0.1541448955948354,200,0.745,CISD-full,va,0
0.580602710883011,0.8018129330990652,0.7346938775510204,0.3453244376939631,0.34335137900490503,200,0.745,CISD-no_adv,va,0
0.6196868008948546,0.8339173789504982,0.754325259515571,0.30630022896336384,0.28196984251856316,200,0.745,CISD-no_orth,va,0
0.6435057244374259,0.8485357881728753,0.7785234899328859,0.2816506445210797,0.26553922551697606,200,0.745,CISD-no_env_aux,va,0
0.6099486774575602,0.8262742346937332,0.8129032258064516,0.2332658702304645,0.21259760471579472,200,0.745,CISD-full,va,1
0.5998157652322674,0.7992418146245692,0.754325259515571,0.3136888754399685,0.30167780667710753,200,0.745,CISD-no_adv,va,1
0.6388998552441111,0.8145549108658219,0.8360128617363344,0.23147530315784423,0.21596569137308202,200,0.745,CISD-no_orth,va,1
0.6807474667719436,0.8529633098420003,0.819672131147541,0.21958954935038372,0.17891382444927506,200,0.745,CISD-no_env_aux,va,1
0.6677194367679958,0.8410331999263514,0.8172757475083058,0.20950384248915135,0.20203389795933485,200,0.745,CISD-full,va,2
0.6446900908014213,0.8310836078920391,0.7946127946127945,0.2452133593237999,0.23638849461428724,200,0.745,CISD-no_adv,va,2
0.654823003026714,0.8218745388018165,0.7878787878787878,0.23389628899984602,0.2062516982503155,200,0.745,CISD-no_orth,va,2
0.5811290959336755,0.775833723495955,0.7986798679867986,0.25690557923163904,0.2332313522423739,200,0.745,CISD-no_env_aux,va,2
0.6208711672588498,0.8087033627752336,0.8,0.24771395546148092,0.21822637512858534,200,0.745,CISD-full,va,3
0.6177128569548624,0.80019120101144,0.7697594501718212,0.29740390409672973,0.2924077934344559,200,0.745,CISD-no_adv,va,3
0.6391630477694433,0.8207030586059836,0.8054607508532423,0.23199215315499921,0.20813583110750725,200,0.745,CISD-no_orth,va,3
0.5584945387550994,0.7896384896858661,0.7335640138408304,0.3198210976166664,0.3083364306123163,200,0.745,CISD-no_env_aux,va,3
0.6611396236346888,0.8493323191162733,0.8079470198675497,0.23092382734951397,0.20176036604610081,200,0.745,CISD-full,va,4
0.6271877878668246,0.8202607857981579,0.7687074829931974,0.30528766512054595,0.3051375651909749,200,0.745,CISD-no_adv,va,4
0.61916041584419,0.8319009006431926,0.7878787878787878,0.25726366199227013,0.2508150768439765,200,0.745,CISD-no_orth,va,4
0.6589024871693644,0.8611389222110378,0.7526881720430108,0.2880166230260659,0.27780745844239396,200,0.745,CISD-no_env_aux,va,4
